Product Code,Net Unit Cost,Quantity,Warehouse Code,Supplier No,Reference No,Date,Shop ID,Purchase Status,Payment Term,Payment Status,Shipping,Order Discount,Order Tax
CDCFS8082,7.2,8,WH1,2,,,,received,,PAID,,,
CDCFM8082,7.2,10,WH1,2,,,,received,,PAID,,,
CDCFL8082,7.2,10,WH1,2,,,,received,,PAID,,,
SYCFS8020,8.5,10,WH1,2,,,,received,,PAID,,,
SYCFM8020,8.5,12,WH1,2,,,,received,,PAID,,,
SYCFL8020,8.5,12,WH1,2,,,,received,,PAID,,,
SYCFXL8020,8.5,12,WH1,2,,,,received,,PAID,,,
CDCFS918,9,8,WH1,2,,,,received,,PAID,,,
CDCFM918,9,8,WH1,2,,,,received,,PAID,,,
CDCFL918,9,8,WH1,2,,,,received,,PAID,,,
CDCFS399,6.7,10,WH1,2,,,,received,,PAID,,,
CDCFM399,6.7,10,WH1,2,,,,received,,PAID,,,
CDCFL399,6.7,10,WH1,2,,,,received,,PAID,,,
SYCFM970,7,12,WH1,2,,,,received,,PAID,,,
SYCFL970,7,12,WH1,2,,,,received,,PAID,,,
