Product Code,Net Unit Cost,Quantity,Warehouse Code,Supplier No,Reference No,Date,Shop ID,Purchase Status,Payment Term,Payment Status,Shipping,Order Discount,Order Tax
CD0PS10811,15.5,5,WH1,2,,,,received,,PAID,,,
CD0PM10811,15.5,5,WH1,2,,,,received,,PAID,,,
CD0CS10811,15.5,4,WH1,2,,,,received,,PAID,,,
CD0CM10811,15.5,5,WH1,2,,,,received,,PAID,,,
CD0CL10811,15.5,5,WH1,2,,,,received,,PAID,,,
CD0PS10812,15.5,5,WH1,2,,,,received,,PAID,,,
CD0PM10812,15.5,5,WH1,2,,,,received,,PAID,,,
CD0CS10812,15.5,5,WH1,2,,,,received,,PAID,,,
CD0CM10812,15.5,5,WH1,2,,,,received,,PAID,,,
CDCFS1078,9.5,4,WH1,2,,,,received,,PAID,,,
CDCFM1078,9.5,4,WH1,2,,,,received,,PAID,,,
CD0CS1079,11.6,5,WH1,2,,,,received,,PAID,,,
CD0CM1079,11.6,5,WH1,2,,,,received,,PAID,,,
CD0SS1079,11.6,4,WH1,2,,,,received,,PAID,,,
CD0SM1079,11.6,4,WH1,2,,,,received,,PAID,,,
CD0SL1079,11.6,1,WH1,2,,,,received,,PAID,,,
CD0SS1623,11.6,5,WH1,2,,,,received,,PAID,,,
CD0SM1623,11.6,5,WH1,2,,,,received,,PAID,,,
CD0PS1623,11.6,5,WH1,2,,,,received,,PAID,,,
CD0PM1623,11.6,5,WH1,2,,,,received,,PAID,,,
CD0PL1623,11.6,4,WH1,2,,,,received,,PAID,,,
CDBES1623,11.6,5,WH1,2,,,,received,,PAID,,,
CDBEM1623,11.6,5,WH1,2,,,,received,,PAID,,,
CDBEL1623,11.6,4,WH1,2,,,,received,,PAID,,,
CD0CS1623,11.6,5,WH1,2,,,,received,,PAID,,,
CD0CM1623,11.6,4,WH1,2,,,,received,,PAID,,,
CD0CL1623,11.6,1,WH1,2,,,,received,,PAID,,,
