Product Code,Net Unit Cost,Quantity,Warehouse Code,Supplier No,Reference No,Date,Shop ID,Purchase Status,Payment Term,Payment Status,Shipping,Order Discount,Order Tax
SY0PS6202,4,12,WH1,2,,,,received,,PAID,,,
SY0PM6202,4,10,WH1,2,,,,received,,PAID,,,
SY0PL6202,4,14,WH1,2,,,,received,,PAID,,,
SYBES6202,4,12,WH1,2,,,,received,,PAID,,,
SYBEM6202,4,12,WH1,2,,,,received,,PAID,,,
SYBEL6202,4,12,WH1,2,,,,received,,PAID,,,
SYBES6812,4,12,WH1,2,,,,received,,PAID,,,
SYBEL6812,4,12,WH1,2,,,,received,,PAID,,,
SY0WS6812,4,11,WH1,2,,,,received,,PAID,,,
SY0WM6812,4,12,WH1,2,,,,received,,PAID,,,
SY0WL6812,4,12,WH1,2,,,,received,,PAID,,,
SYCFS3209,4,12,WH1,2,,,,received,,PAID,,,
SYCFM3209,4,8,WH1,2,,,,received,,PAID,,,
SYCFL3209,4,16,WH1,2,,,,received,,PAID,,,
SYCFF7334,4,16,WH1,2,,,,received,,PAID,,,
SY0RS1224,3.3,12,WH1,2,,,,received,,PAID,,,
SY0RM1224,3.3,12,WH1,2,,,,received,,PAID,,,
SY0RL1224,3.3,12,WH1,2,,,,received,,PAID,,,
SY0PS9199,4,16,WH1,2,,,,received,,PAID,,,
SY0PM9199,4,16,WH1,2,,,,received,,PAID,,,
SY0WS9199,4,12,WH1,2,,,,received,,PAID,,,
SY0WM9199,4,12,WH1,2,,,,received,,PAID,,,
LP0GF1790,2.5,12,WH1,2,,,,received,,PAID,,,
LPBEF1790,2.5,20,WH1,2,,,,received,,PAID,,,
SYBRF9010,7,12,WH1,2,,,,received,,PAID,,,
SY0RF9010,7,16,WH1,2,,,,received,,PAID,,,
SY0CF9062,7,14,WH1,2,,,,received,,PAID,,,
SY0WF9062,7,14,WH1,2,,,,received,,PAID,,,
SY0PF9062,7,14,WH1,2,,,,received,,PAID,,,
SYCFF9063,7,14,WH1,2,,,,received,,PAID,,,
SY0GL6812,4,13,WH1,2,,,,received,,PAID,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
