Product Code,Net Unit Cost,Quantity,Warehouse Code,Supplier No,Reference No,Date,Shop ID,Purchase Status,Payment Term,Payment Status,Shipping,Order Discount,Order Tax
LP0GM1864,5.1,2,WH1,2,,,,received,,PAID,,,
LP0GL1864,5.1,10,WH1,2,,,,received,,PAID,,,
LPBEM1864,5.1,10,WH1,2,,,,received,,PAID,,,
LPBEL1864,5.1,10,WH1,2,,,,received,,PAID,,,
LPCFS1865,5.9,9,WH1,2,,,,received,,PAID,,,
LPCFM1865,5.9,13,WH1,2,,,,received,,PAID,,,
LPCFL1865,5.9,10,WH1,2,,,,received,,PAID,,,
SKCFM351,5.1,10,WH1,2,,,,received,,PAID,,,
SKCFL351,5.1,10,WH1,2,,,,received,,PAID,,,
SK0PF1866,3.9,10,WH1,2,,,,received,,PAID,,,
SKBBF1866,3.9,10,WH1,2,,,,received,,PAID,,,
LP0GS1867,6.5,6,WH1,2,,,,received,,PAID,,,
LP0GM1867,6.5,10,WH1,2,,,,received,,PAID,,,
LP0GL1867,6.5,10,WH1,2,,,,received,,PAID,,,
LP0GXL1867,6.5,6,WH1,2,,,,received,,PAID,,,
LPBBS1867,6.5,6,WH1,2,,,,received,,PAID,,,
LPBBM1867,6.5,10,WH1,2,,,,received,,PAID,,,
LPBBL1867,6.5,10,WH1,2,,,,received,,PAID,,,
LPBBXL1867,6.5,8,WH1,2,,,,received,,PAID,,,
SY0PF1868,5.3,12,WH1,2,,,,received,,PAID,,,
SKGGS1869,5.7,8,WH1,2,,,,received,,PAID,,,
SKGGM1869,5.7,8,WH1,2,,,,received,,PAID,,,
SKGGL1869,5.7,8,WH1,2,,,,received,,PAID,,,
SK0GS1869,5.7,8,WH1,2,,,,received,,PAID,,,
SK0GM1869,5.7,8,WH1,2,,,,received,,PAID,,,
SK0GL1869,5.7,8,WH1,2,,,,received,,PAID,,,
