Product Code,Net Unit Cost,Quantity,Warehouse Code,Supplier No,Reference No,Date,Shop ID,Purchase Status,Payment Term,Payment Status,Shipping,Order Discount,Order Tax
SYCFS574,7,10,WH1,2,,,,received,,PAID,,,
SYCFM574,7,10,WH1,2,,,,received,,PAID,,,
SYCFL574,7,10,WH1,2,,,,received,,PAID,,,
CDCFS8743,8.5,10,WH1,2,,,,received,,PAID,,,
CDCFM8743,8.5,10,WH1,2,,,,received,,PAID,,,
CDCFL8743,8.5,10,WH1,2,,,,received,,PAID,,,
SYCFS698,5.5,10,WH1,2,,,,received,,PAID,,,
SYCFM698,5.5,10,WH1,2,,,,received,,PAID,,,
SYCFL698,5.5,10,WH1,2,,,,received,,PAID,,,
SYCFS800,6.5,10,WH1,2,,,,received,,PAID,,,
SYCFM800,6.5,10,WH1,2,,,,received,,PAID,,,
SYCFL800,6.5,10,WH1,2,,,,received,,PAID,,,
CDCFS1093,8,10,WH1,2,,,,received,,PAID,,,
CDCFM1093,8,10,WH1,2,,,,received,,PAID,,,
CDCFL1093,8,10,WH1,2,,,,received,,PAID,,,
SYCFS8190,8,10,WH1,2,,,,received,,PAID,,,
SYCFM8190,8,10,WH1,2,,,,received,,PAID,,,
SYCFL8190,8,10,WH1,2,,,,received,,PAID,,,
