Product Code,Net Unit Cost,Quantity,Warehouse Code,Supplier No,Reference No,Date,Shop ID,Purchase Status,Payment Term,Payment Status,Shipping,Order Discount,Order Tax
JKCFS8048,5.8,15,WH1,2,,,,received,,PAID,,,
JKCFM8048,5.8,20,WH1,2,,,,received,,PAID,,,
JKCFL8048,5.8,15,WH1,2,,,,received,,PAID,,,
JKCFXL8048,5.8,10,WH1,2,,,,received,,PAID,,,
JKCFXXL8048,5.8,5,WH1,2,,,,received,,PAID,,,
JKCFM1317,5.7,12,WH1,2,,,,received,,PAID,,,
JKCFXL1317,5.7,5,WH1,2,,,,received,,PAID,,,
JK0PL1302,6.1,15,WH1,2,,,,received,,PAID,,,
JK0PXL1302,6.1,5,WH1,2,,,,received,,PAID,,,
JK0GL1302,6.1,10,WH1,2,,,,received,,PAID,,,
JKBBS1297,6.1,17,WH1,2,,,,received,,PAID,,,
JKBBM1297,6.1,20,WH1,2,,,,received,,PAID,,,
JKBBL1297,6.1,15,WH1,2,,,,received,,PAID,,,
JKBBXL1297,6.1,5,WH1,2,,,,received,,PAID,,,
JKBBXXL1297,6.1,5,WH1,2,,,,received,,PAID,,,
JKCFS1323,6,15,WH1,2,,,,received,,PAID,,,
JKCFM1323,6,15,WH1,2,,,,received,,PAID,,,
JKCFL1323,6,15,WH1,2,,,,received,,PAID,,,
JKCFXL1323,6,10,WH1,2,,,,received,,PAID,,,
JKCFM1318,6,10,WH1,2,,,,received,,PAID,,,
JKCFL1318,6,15,WH1,2,,,,received,,PAID,,,
JKCFXL1318,6,5,WH1,2,,,,received,,PAID,,,
JK0GS1303,6.5,6,WH1,2,,,,received,,PAID,,,
JK0GM1303,6.5,6,WH1,2,,,,received,,PAID,,,
JK0GL1303,6.5,6,WH1,2,,,,received,,PAID,,,
