Product Code,Net Unit Cost,Quantity,Warehouse Code,Supplier No,Reference No,Date,Shop ID,Purchase Status,Payment Term,Payment Status,Shipping,Order Discount,Order Tax
LP0GS1867,6.5,10,WH1,2,,,,received,,PAID,,,
LP0GM1867,6.5,10,WH1,2,,,,received,,PAID,,,
LPBBS1867,6.5,14,WH1,2,,,,received,,PAID,,,
LPBBM1867,6.5,10,WH1,2,,,,received,,PAID,,,
LPBBL1867,6.5,8,WH1,2,,,,received,,PAID,,,
LP0WS1867,6.5,8,WH1,2,,,,received,,PAID,,,
LP0WM1867,6.5,8,WH1,2,,,,received,,PAID,,,
LP0WL1867,6.5,6,WH1,2,,,,received,,PAID,,,
SYBEF3900,6.2,12,WH1,2,,,,received,,PAID,,,
SY0CF3900,6.2,12,WH1,2,,,,received,,PAID,,,
SY0PS3901,5.6,9,WH1,2,,,,received,,PAID,,,
SY0PM3901,5.6,12,WH1,2,,,,received,,PAID,,,
SY0PL3901,5.6,12,WH1,2,,,,received,,PAID,,,
SYBES3901,5.6,11,WH1,2,,,,received,,PAID,,,
SYBEM3901,5.6,5,WH1,2,,,,received,,PAID,,,
SYBEL3901,5.6,2,WH1,2,,,,received,,PAID,,,
SY0PM3902,5.9,2,WH1,2,,,,received,,PAID,,,
SY0PL3902,5.9,10,WH1,2,,,,received,,PAID,,,
SYBEM3902,5.9,3,WH1,2,,,,received,,PAID,,,
SYBEL3902,5.9,10,WH1,2,,,,received,,PAID,,,
