CDCFS238,2
CDCFM238,1
CD0C171139,1
CDBB171139,1
CD00609501,1
CDCFM9020,1
CDBBS8068,2
CDBBL8068,2
CDBBM8068,1
CD0RS8068,2
CD0RL8068,1
CD008774,1
CD001303,6
CD001581,1
CD004077,1
CDBE10226,6
CD0P10226,2
CD0066289,2
CDCFM8344,1
CD0010901,1
CDBB6631,1
CDCFS8008,3
CDCFM8008,1
CDCFM8704,2
CDCFS8704,1
CDCFL8704,1
CDCFM8233,3
CDCFS8233,1
CDCFL8233,3
CDCFL7389,2
CDCFS7389,1
CDCFF1510,2
CD0080170,3
CDCFL8743,5
CDCFS8743,4
CDCFM8743,2
CDCFM1802,3
CDCFS1802,4
CD009417,1
CD0YF10517,4
CD0WF10517,1
CD0G9397,2
CD0CM10812,1
CD0CS10812,1
CD0PS10812,1
CD0PM10812,1
CD0PS10811,1
CD0CS10811,1
CD0CL10811,1
CD0CL1623,1
CDBEL1623,1
CD0PL1623,1
CDDBL9396,1
CD0SM1079,2
CD0CM1079,2
CD0CL1079,1
CD0G9395,2
CDPPL9395,1
CD0P9395,2
CD0S9395,2
CD0RL9395,1
CDCFM3952,4
CDCFM3132,2
CDCFM5985,3
CDCFM3951,1
CD005260,1
CD00401,2
CD000099,1
CD001186,2
CD006910,2
CD006719,2
CD00L1668,1
CDBE8535,1
CD001603,3
CD009727,1
CD005641,1
CD005138,1
CDCFF8085,1
CDBBL666,3
CDBEL666,2
CDCFL9010,1
CDCFXL282,2
CDCFM282,1
CDCFL282,1
CD007180,2
CD0C171063,2
CD006884,5
CD009719,1
CDCFM643,1
CDCFL7358,2
CDCFS7358,2
CDBB6838,1
CD0W6838,1
CDCFL1076,1
CDCFM1076,1
CDCFS1076,1
CD008308,3
CD0R17030,1
CDBB17030,2
CDCFL1093,1
CDCFL8862,3
CDCFS8862,3
CDCFM8862,1
CDCFS1826,1
CDCFL918,1
CDCFL2266,2
CDCFS2266,1
CDCFXL5130,1
CDCFL8082,1
CDBB10268,1
