Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image
SYBBF6315,6315 BLACK SHIRT,SY,UNIT,,13.99,1,,,,,,,,,,,,,,,,
SY0WF6315,6315 WHITE SHIRT,SY,UNIT,,13.99,1,,,,,,,,,,,,,,,,
SY0WM8925,8925 WHITE M SHIRT,SY,UNIT,,16.99,1,,,,,,,,,,,,,,,,
SY0WL8925,8925 WHITE L SHIRT,SY,UNIT,,16.99,1,,,,,,,,,,,,,,,,
SY0PM8925,8925 PINK M SHIRT,SY,UNIT,,16.99,1,,,,,,,,,,,,,,,,
SY0PL8925,8925 PINK L SHIRT,SY,UNIT,,16.99,1,,,,,,,,,,,,,,,,
SY0GM8923,8923 GRAY M SHIRT,SY,UNIT,,14.99,1,,,,,,,,,,,,,,,,
SY0GL8923,8923 GRAY L SHIRT,SY,UNIT,,14.99,1,,,,,,,,,,,,,,,,
SY0RM8923,8923 RED M SHIRT,SY,UNIT,,14.99,1,,,,,,,,,,,,,,,,
SY0RL8923,8923 RED L SHIRT,SY,UNIT,,14.99,1,,,,,,,,,,,,,,,,
SYBBF1026,1026 BLACK SHIRT,SY,UNIT,,14.99,1,,,,,,,,,,,,,,,,
SY0RF1026,1026 RED SHIRT,SY,UNIT,,14.99,1,,,,,,,,,,,,,,,,
