Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image
LJCFS1026,1026 S LONG JEAN,LJ,UNIT,,15.99,1,,,,,,,,,,,,,,,,
LJCFM1026,1026 M LONG JEAN,LJ,UNIT,,15.99,1,,,,,,,,,,,,,,,,
LJCFL1026,1026 L LONG JEAN,LJ,UNIT,,15.99,1,,,,,,,,,,,,,,,,
LJCFXL1026,1026 XL LONG JEAN,LJ,UNIT,,15.99,1,,,,,,,,,,,,,,,,
LJBBS1050,1050 BLACK S JEAN,LJ,UNIT,,14.99,1,,,,,,,,,,,,,,,,
LJBBM1050,1050 BLACK M JEAN,LJ,UNIT,,14.99,1,,,,,,,,,,,,,,,,
LJBBL1050,1050 BLACK L JEAN,LJ,UNIT,,14.99,1,,,,,,,,,,,,,,,,
LJBBXL1050,1050 BLACK XL JEAN,LJ,UNIT,,14.99,1,,,,,,,,,,,,,,,,
LJBES1050,1050 BLUE S JEAN,LJ,UNIT,,14.99,1,,,,,,,,,,,,,,,,
LJBEM1050,1050 BLUE M JEAN,LJ,UNIT,,14.99,1,,,,,,,,,,,,,,,,
LJBEL1050,1050 BLUE L JEAN,LJ,UNIT,,14.99,1,,,,,,,,,,,,,,,,
LJBEXL1050,1050 BLUE XL JEAN,LJ,UNIT,,14.99,1,,,,,,,,,,,,,,,,
LJCFS1016,1016 S JEAN,LJ,UNIT,,16.99,1,,,,,,,,,,,,,,,,
LJCFM1016,1016 M JEAN,LJ,UNIT,,16.99,1,,,,,,,,,,,,,,,,
LJCFL1016,1016 L JEAN,LJ,UNIT,,16.99,1,,,,,,,,,,,,,,,,
