Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image
SYBEF388,388 BLUE SHIRT,SY,UNIT,,10,1,,,,,,,,,,,,,,,,
SY0WF388,388 WHITE SHIRT,SY,UNIT,,10,1,,,,,,,,,,,,,,,,
SY0PF388,388 PINK SHIRT,SY,UNIT,,10,1,,,,,,,,,,,,,,,,
SYPPFT928,T928 PURPLE SHIRT,SY,UNIT,,10,1,,,,,,,,,,,,,,,,
SYDBFT928,T928 DARK BLUE SHIRT,SY,UNIT,,10,1,,,,,,,,,,,,,,,,
SYBEFT928,T928 BLUE SHIRT,SY,UNIT,,10,1,,,,,,,,,,,,,,,,
SY0GFT928,T928 GRAY SHIRT,SY,UNIT,,10,1,,,,,,,,,,,,,,,,
SYBBFT809,T809 BLACK SHIRT,SY,UNIT,,8.99,1,,,,,,,,,,,,,,,,
SY0WFT809,T809 WHITE SHIRT,SY,UNIT,,8.99,1,,,,,,,,,,,,,,,,
SY0GFT809,T809 GRAY SHIRT,SY,UNIT,,8.99,1,,,,,,,,,,,,,,,,
JKBEFT995,T955 BLUE JACKET,JK,UNIT,,14.99,1,,,,,,,,,,,,,,,,
JKBRFT995,T955 BROWN JACKET,JK,UNIT,,14.99,1,,,,,,,,,,,,,,,,
