Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image
SY0PF5992,5992 PINK SHIRT,SY,UNIT,,13.99,1,,,,,,,,,,,,,,,,
SY0WF5992,5992 WHITE SHIRT,SY,UNIT,,13.99,1,,,,,,,,,,,,,,,,
SYCFF1595,1595 SHIRT,SY,UNIT,,13.99,1,,,,,,,,,,,,,,,,
JKCFS5205,5205 S JACKET,JK,UNIT,,15.99,1,,,,,,,,,,,,,,,,
JKCFM5205,5205 M JACKET,JK,UNIT,,15.99,1,,,,,,,,,,,,,,,,
JKCFL5205,5205 L JACKET,JK,UNIT,,15.99,1,,,,,,,,,,,,,,,,
SYBEF9309,9309 BLUE SHIRT,SY,UNIT,,13.99,1,,,,,,,,,,,,,,,,
SY0RF9309,9309 RED SHIRT,SY,UNIT,,13.99,1,,,,,,,,,,,,,,,,
LJCFM1170,1170 M JEAN,LJ,UNIT,,14.99,1,,,,,,,,,,,,,,,,
LJCFL1170,1170 L JEAN,LJ,UNIT,,14.99,1,,,,,,,,,,,,,,,,
LJCFXL1170,1170 XL JEAN,LJ,UNIT,,14.99,1,,,,,,,,,,,,,,,,
LJCFXXL1170,1170 XXL JEAN,LJ,UNIT,,14.99,1,,,,,,,,,,,,,,,,
JKCFF1038,1038 JACKET,JK,UNIT,,24.99,1,,,,,,,,,,,,,,,,
SYCFF5126,5126 SHIRT,SY,UNIT,,13.99,1,,,,,,,,,,,,,,,,
LJCFS2964,2964 S JEAN,LJ,UNIT,,15.99,1,,,,,,,,,,,,,,,,
LJCFM2964,2964 M JEAN,LJ,UNIT,,15.99,1,,,,,,,,,,,,,,,,
LJCFL2964,2964 L JEAN,LJ,UNIT,,15.99,1,,,,,,,,,,,,,,,,
JKCFF8616,8616 JACKET,JK,UNIT,,22.99,1,,,,,,,,,,,,,,,,
