Product Code,Net Unit Cost,Quantity,Warehouse Code,Supplier No,Reference No,Date,Shop ID,Purchase Status,Payment Term,Payment Status,Shipping,Order Discount,Order Tax
JLBB955,8.5,10,WH1,2,,,,received,,PAID,,,
JL0W955,8.5,10,WH1,2,,,,received,,PAID,,,
JL0W954,8,10,WH1,2,,,,received,,PAID,,,
JLBB954,8,10,WH1,2,,,,received,,PAID,,,
JLBG954,8,10,WH1,2,,,,received,,PAID,,,
JLBR954,8,10,WH1,2,,,,received,,PAID,,,
JL0W945,8.5,10,WH1,2,,,,received,,PAID,,,
JLBE945,8.5,10,WH1,2,,,,received,,PAID,,,
JLBB945,8.5,10,WH1,2,,,,received,,PAID,,,
JL0P945,8.5,10,WH1,2,,,,received,,PAID,,,
JLRG959,12.8,10,WH1,2,,,,received,,PAID,,,
JL0S959,12.8,10,WH1,2,,,,received,,PAID,,,
JL0G959,12.8,10,WH1,2,,,,received,,PAID,,,
JLBB973,8.5,10,WH1,2,,,,received,,PAID,,,
JL0W973,8.5,10,WH1,2,,,,received,,PAID,,,
JL0P973,8.5,10,WH1,2,,,,received,,PAID,,,
JLBR1040,10.5,10,WH1,2,,,,received,,PAID,,,
JL0G1040,10.5,10,WH1,2,,,,received,,PAID,,,
JLGG1033,18,10,WH1,2,,,,received,,PAID,,,
JLBR1033,18,10,WH1,2,,,,received,,PAID,,,
JL0G1033,18,10,WH1,2,,,,received,,PAID,,,
JL0W1033,18,10,WH1,2,,,,received,,PAID,,,
JL0W1001,16,10,WH1,2,,,,received,,PAID,,,
JL0G1001,16,10,WH1,2,,,,received,,PAID,,,
JLBB914,7,8,WH1,2,,,,received,,PAID,,,
JLBR914,7,8,WH1,2,,,,received,,PAID,,,
JLBE914,7,8,WH1,2,,,,received,,PAID,,,
JL0W928,7.8,10,WH1,2,,,,received,,PAID,,,
JLBR928,7.8,10,WH1,2,,,,received,,PAID,,,
JLBG928,7.8,10,WH1,2,,,,received,,PAID,,,
JL0R928,7.8,10,WH1,2,,,,received,,PAID,,,
JLRG1030,11.8,10,WH1,2,,,,received,,PAID,,,
JL0G1030,11.8,10,WH1,2,,,,received,,PAID,,,
JL0W1030,11.8,10,WH1,2,,,,received,,PAID,,,
