Product Code,Net Unit Cost,Quantity,Warehouse Code,Supplier No,Reference No,Date,Shop ID,Purchase Status,Payment Term,Payment Status,Shipping,Order Discount,Order Tax
SYCFS3010,6,10,WH1,2,,,,received,,PAID,,,
SYCFM3010,6,10,WH1,2,,,,received,,PAID,,,
SYCFL3010,6,10,WH1,2,,,,received,,PAID,,,
SYCFXL3010,6,8,WH1,2,,,,received,,PAID,,,
SYCFS3011,5.6,10,WH1,2,,,,received,,PAID,,,
SYCFM3011,5.6,12,WH1,2,,,,received,,PAID,,,
SYCFL3011,5.6,12,WH1,2,,,,received,,PAID,,,
SYCFXL3011,5.6,8,WH1,2,,,,received,,PAID,,,
JKGGS3048,7.6,10,WH1,2,,,,received,,PAID,,,
JKGGM3048,7.6,10,WH1,2,,,,received,,PAID,,,
JKGGL3048,7.6,10,WH1,2,,,,received,,PAID,,,
JKBBS3048,7.6,8,WH1,2,,,,received,,PAID,,,
JKBBM3048,7.6,8,WH1,2,,,,received,,PAID,,,
JKBBL3048,7.6,8,WH1,2,,,,received,,PAID,,,
SYBBS3049,7.3,10,WH1,2,,,,received,,PAID,,,
SYBBM3049,7.3,10,WH1,2,,,,received,,PAID,,,
SYBBL3049,7.3,10,WH1,2,,,,received,,PAID,,,
SY0CS3049,7.3,10,WH1,2,,,,received,,PAID,,,
SY0CM3049,7.3,10,WH1,2,,,,received,,PAID,,,
SY0CL3049,7.3,10,WH1,2,,,,received,,PAID,,,
SYCFS3051,6.7,10,WH1,2,,,,received,,PAID,,,
SYCFM3051,6.7,10,WH1,2,,,,received,,PAID,,,
