"Product Code","Product Name",Variant,Expected,Counted
SY008308,"8308 SHIRT",,0.0000,
SY008475,"8475 SHIRT",,0.0000,
SY008476,"8476 SHIRT",,0.0000,
SY008553,SY008553,,0.0000,
SY008795,SY008795,,0.0000,
SY008867,"8867 SHIRT",,0.0000,
SY008869,"8869 SHIRT",,0.0000,
SY008873,SY008873,,3.0000,
SY008983,"8983 SHIRT",,0.0000,
SY009020,SY009020,,0.0000,
SY009069,SY009069,,0.0000,
SY009110,"9110 SHIRT",,-1.0000,
SY009111,"9111 SHIRT",,0.0000,
SY009113,"9113 SHIRT",,1.0000,
SY009114,"9114 SHIRT",,-1.0000,
SY009115,"9115 SHIRT",,0.0000,
SY009137,"9137 SHIRT",,1.0000,
SY009193,"9193 SHIRT",,-1.0000,
SY009223,"9223 SHIRT",,1.0000,
SY009224,"9224 SHIRT",,-1.0000,
SY009225,"9225 SHIRT",,0.0000,
SY009226,"9226 SHIRT",,0.0000,
SY009229,"9229 SHIRT",,0.0000,
SY009231,"9231 SHIRT",,0.0000,
SY009232,"9232 SHIRT",,0.0000,
SY009489,"9489 SHIRT",,-1.0000,
SY009499,"9499 SHIRT",,0.0000,
SY009535,"9535 SHIRT",,0.0000,
SY0095623,"95623 SHIRT",,4.0000,
SY009588,SY009588,,0.0000,
SY009601,"9601 SHIRT",,0.0000,
SY009787,"9787 SHIRT",,0.0000,
SY009881,"9881 SHIRT",,1.0000,
SY00A087,SY00A087,,0.0000,
SY00A386,"A386 SHIRT",,0.0000,
SY00A511,"A511 SHIRT",,0.0000,
SY00A65,"A65 SHIRT",,3.0000,
SY00AJ008,SY00AJ008,,0.0000,
SY00BM150,SY00BM150,,0.0000,
SY00H144,SY00H144,,0.0000,
SY00JU208,SY00JU208,,0.0000,
SY00Y723,"Y723 SHIRT",,0.0000,
SY0B094,SY0B094,,0.0000,
SY0B112,"112 BLUE SHIRT",,-1.0000,
SY0B1701,"1701 BLUE SHIRT",,1.0000,
SY0B30227,SY0B30227,,0.0000,
SY0B3081,SY0B3081,,0.0000,
SY0B3310,SY0B3310,,0.0000,
SY0B392,"392 BLUE SHIRT",,0.0000,
SY0B5717,SY0B5717,,2.0000,
SY0B6476,SY0B6476,,0.0000,
SY0B893,SY0B893,,0.0000,
SY0B9853,"9853 BLUE SHIRT",,0.0000,
SY0BA190,"A190 BLUE SHIRT",,0.0000,
SY0BA9005,SY0BA9005,,-1.0000,
SY0BE641,"641 BLUE SHIRT",,0.0000,
SY0BV006,SY0BV006,,0.0000,
SY0C110,"110 CREAM SHIRT",,0.0000,
SY0C112,"112 CREAM SHIRT",,0.0000,
SY0C1673,"1673 CREAM SHIRT",,4.0000,
SY0C2016,SY0C2016,,2.0000,
SY0C3918,"3918 CREAM SHIRT",,0.0000,
SY0C5003,SY0C5003,,0.0000,
SY0C5072,"5072 CREAM SHIRT",,0.0000,
SY0C571128,"571128 CREAM SHIRT",,1.0000,
SY0C577,"577 CREAM SHIRT",,0.0000,
SY0C5810,"5810 CREAM SHIRT",,3.0000,
SY0C6008,"6008 CREAM SHIRT",,1.0000,
SY0C6601,"6601 CREAM SHIRT",,-1.0000,
SY0C6614,"6614 CREAM SHIRT",,-1.0000,
SY0C7407,SY0C7407,,0.0000,
SY0C920,"920 CREAM SHIRT",,0.0000,
SY0C9605,"9605 CREAM SHIRT",,7.0000,
SY0CA619,"A619 CREAM SHIRT",,4.0000,
SY0CA627,"A627 CREAM SHIRT",,0.0000,
SY0CA628,"A628 CREAM SHIRT",,0.0000,
SY0CA677,"A677 CREAM SHIRT",,0.0000,
SY0CBM339,SY0CBM339,,0.0000,
SY0G003,SY0G003,,0.0000,
SY0G10847,SY0G10847,,2.0000,
SY0G110,"110 GRAY SHIRT",,0.0000,
SY0G1181,"1181 GRAY SHIRT",,0.0000,
SY0G1213,"1213 GRAY SHIRT",,6.0000,
SY0G16588,"16588 GRAY SHIRT",,-3.0000,
SY0G1673,"1673 GRAY SHIRT",,1.0000,
SY0G1701,"1701 GRAY SHIRT",,-3.0000,
SY0G1703,"1703 GRAY SHIRT",,0.0000,
SY0G171128,"171128 GRAY SHIRT",,5.0000,
SY0G355,"355 GRAY SHIRT",,0.0000,
SY0G3993,"3993 GRAY SHIRT",,0.0000,
SY0G5101,"5101 GRAY SHIRT",,0.0000,
SY0G5655,"5655 GRAY SHIRT",,3.0000,
SY0G577,"577 GRAY SHIRT",,2.0000,
SY0G6008,"6008 GRAY SHIRT",,0.0000,
SY0G6018,"6018 GRAY SHIRT",,2.0000,
SY0G6169,"6169 GRAY SHIRT",,2.0000,
SY0G6601,"6601 GRAY SHIRT",,-1.0000,
SY0G6616,"6616 GRAY SHIRT",,3.0000,
SY0G6910,"6910 GRAY SHIRT",,8.0000,
SY0G7005,"7005 GRAY SHIRT",,8.0000,
SY0G81301,"81301 GRAY SHIRT",,3.0000,
SY0G8738,"8738 GRAY SHIRT",,1.0000,
SY0G8994,SY0G8994,,-2.0000,
SY0G9160,"9160 GRAY SHIRT",,0.0000,
SY0G9191,"9191 GRAY SHIRT",,0.0000,
SY0G9194,"9194 GRAY SHIRT",,0.0000,
SY0G9230,"9230 GRAY SHIRT",,0.0000,
SY0G9602,"9602 GRAY SHIRT",,0.0000,
SY0G9604,"9604 GRAY SHIRT",,1.0000,
SY0GA22,"A22 GRAY SHIRT",,0.0000,
SY0GA328,"A328 GRAY SHIRT",,0.0000,
SY0GA619,"A619 GRAY SHIRT",,0.0000,
SY0GA627,"A627 GRAY SHIRT",,0.0000,
SY0GA63,"A63 GRAY SHIRT",,0.0000,
SY0GBM339,SY0GBM339,,0.0000,
SY0GL123,"L123 GRAY SHIRT",,2.0000,
SY0GL92,"L92 GRAY SHIRT",,2.0000,
SY0O7001,"7001 ORANGE SHIRT",,0.0000,
SY0O7005,"7005 ORANGE SHIRT",,0.0000,
SY0OA677,"A677 ORANGE SHIRT",,0.0000,
SY0P1018,"1018 PINK SHIRT",,5.0000,
SY0P10847,SY0P10847,,5.0000,
SY0P110,"110 PINK SHIRT",,1.0000,
SY0P112,"112 PINK SHIRT",,0.0000,
SY0P1701,"1701 PINK SHIRT",,0.0000,
SY0P1703,"1703 PINK SHIRT",,0.0000,
SY0P2413,"2413 PINK SHIRT",,0.0000,
SY0P3211,"3211 PINK SHIRT",,0.0000,
SY0P358,"358 PINK SHIRT",,0.0000,
SY0P3776,"3776 PINK SHIRT",,0.0000,
SY0P3918,"3918 PINK SHIRT",,0.0000,
SY0P3919,"3919 PINK SHIRT",,0.0000,
SY0P392,"392 PINK SHIRT",,0.0000,
SY0P3920,"3920 PINK SHIRT",,0.0000,
SY0P3937,SY0P3937,,3.0000,
SY0P5007,"5007 PINK SHIRT",,0.0000,
SY0P5050,"5050 PINK SHIRT",,0.0000,
SY0P5053,"5053 PINK SHIRT",,2.0000,
SY0P5059,"5059 PINK SHIRT",,-1.0000,
SY0P5075,"5075 PINK SHIRT",,0.0000,
SY0P5076,"5076 PINK SHIRT",,0.0000,
SY0P5101,"5101 PINK SHIRT",,0.0000,
SY0P5655,"5655 PINK SHIRT",,1.0000,
SY0P6018,"6018 PINK SHIRT",,0.0000,
SY0P6019,"6019 PINK SHIRT",,0.0000,
SY0P6038,"6038 PINK SHIRT",,0.0000,
SY0P607,"607 PINK SHIRT",,1.0000,
SY0P6118,"6118 PINK SHIRT",,0.0000,
SY0P6183,"6183 PINK SHIRT",,0.0000,
SY0P6230,"6230 PINK SHIRT",,4.0000,
SY0P6476,SY0P6476,,0.0000,
SY0P6591,"6591 PINK SHIRT",,3.0000,
SY0P6602,"6602 PINK SHIRT",,0.0000,
SY0P6609,"6609 PINK SHIRT",,0.0000,
SY0P6612,"6612 PINK SHIRT",,0.0000,
SY0P6613,"6613 PINK SHIRT",,-2.0000,
SY0P6617,"6617 PINK SHIRT",,0.0000,
SY0P6618,"6618 PINK SHIRT",,0.0000,
SY0P6690,SY0P6690,,0.0000,
SY0P6711,"6711 PINK SHIRT",,0.0000,
SY0P6910,"6910 PINK SHIRT",,8.0000,
SY0P7001,"7001 PINK SHIRT",,3.0000,
